"X","Brand","Name","Sticker","Year","KM","Fuel","CV","Transmission","One_owner","Location","Length","Width","Height","Weight","Trunk","Tank","Vmax","X0to100","Consumption","Emissions","Keys_num","Extras_num","Price","Antiguitat","Ratio_Pot_Pes","Tram_KM","Preu_per_CV","Depreciacio_Anual","Preu_per_KM"
509,"Ford","Ford Focus","ECO",2020,74907,"Híbrido",125,"MANUAL","True","Madrid",4.4,1.83,1.48,1322,1320,"-",199,10,4.9,94,2,5,17990,5,0.094553706505295,"50k-100k",143.92,3598,0.240164470610223
510,"Ford","Ford Focus","C",2018,109386,"Gasolina",125,"MANUAL","True","Santander",4.36,1.82,1.47,1280,1262,"-",193,11,4.7,108,2,5,15300,7,0.09765625,"100k-200k",122.4,2185.71428571429,0.139871647194339
511,"Seat","Seat Tarraco","C",2020,88721,"Diésel",190,"AUTO","False","Madrid",4.74,1.84,1.67,1816,NA,"-",210,8,5.5,146,2,5,33500,5,0.104625550660793,"50k-100k",176.315789473684,6700,0.377588169655437
512,"Infiniti","Infiniti Q30","C",2019,41334,"Gasolina",122,"MANUAL","False","Ciudad Real",4.43,1.81,1.5,1432,NA,"-",200,9.4,7.3,166,2,5,18950,6,0.085195530726257,"20k-50k",155.327868852459,3158.33333333333,0.458460347413751
513,"Skoda","Skoda Scala","C",2021,52718,"Gasolina",150,"MANUAL","True","Vizcaya",4.36,1.79,1.47,1312,1410,"-",NA,5.7,NA,NA,2,5,18200,4,0.114329268292683,"50k-100k",121.333333333333,4550,0.345233127205129
514,"Peugeot","Peugeot 3008","C",2020,58320,"Diésel",130,"AUTO","False","Madrid",4.45,1.84,1.62,1430,1482,"-",189,11.5,4.1,135,1,5,25900,5,0.0909090909090909,"50k-100k",199.230769230769,5180,0.444101508916324
515,"BMW","BMW Serie 1","C",2017,129676,"Diésel",116,"MANUAL","False","Barcelona",4.33,1.77,1.44,1395,1200,"-",200,10.3,4,97,2,5,17990,8,0.0831541218637993,"100k-200k",155.086206896552,2248.75,0.138730374163299
516,"Opel","Opel Crossland X","C",2018,95719,"Gasolina",130,"MANUAL","False","Murcia",4.21,1.83,1.61,1274,1255,"-",206,9.1,5.1,116,2,5,11800,7,0.102040816326531,"50k-100k",90.7692307692308,1685.71428571429,0.123277510212184
517,"BMW","BMW Serie 1","C",2017,73815,"Diésel",116,"MANUAL","False","Almería",4.33,1.77,1.44,1395,1200,"-",200,10.3,3.7,97,2,5,18990,8,0.0831541218637993,"50k-100k",163.706896551724,2373.75,0.257264783580573
518,"Volkswagen","Volkswagen Polo","C",2019,119751,"Gasolina",80,"MANUAL","False","Málaga",4.05,1.75,1.46,1105,1125,"-",170,14.9,5.8,110,2,5,11990,6,0.0723981900452489,"100k-200k",149.875,1998.33333333333,0.100124424848227
519,"Audi","Audi A1","C",2019,42876,"Gasolina",116,"MANUAL","False","Córdoba",4.03,1.74,1.41,1180,1090,"-",203,9.5,4.9,111,2,5,21350,6,0.0983050847457627,"20k-50k",184.051724137931,3558.33333333333,0.497947569735983
520,"SsangYong","SsangYong Tivoli","C",2016,125996,"Diésel",115,"MANUAL","False","Murcia",4.2,1.8,1.59,1355,1115,"-",175,4.3,113,NA,2,5,13990,9,0.0848708487084871,"100k-200k",121.652173913043,1554.44444444444,0.111035270960983
521,"Hyundai","Hyundai Tucson","ECO",2024,8495,"Híbrido",150,"MANUAL","False","Valencia",4.5,1.87,1.65,1463,1756,"-",189,10.3,6.6,149,2,5,29750,1,0.102529049897471,"0-20k",198.333333333333,29750,3.50206003531489
522,"Volvo","Volvo XC40","0_EMISIONES",2022,23251,"Híbrido Enchufable",211,"AUTO","False","Badajoz",4.43,1.86,1.65,1741,1328,"-",180,8.5,1.8,45,1,5,34500,3,0.121194715680643,"20k-50k",163.507109004739,11500,1.48380714807965
523,"BYD","BYD Seal","0_EMISIONES",2024,3111,"Eléctrico",313,"AUTO","True","Madrid",4.8,1.88,1.46,2055,NA,"-",180,5.9,570,NA,2,5,44500,1,0.152311435523114,"0-20k",142.172523961661,44500,14.3040822886532
525,"Volkswagen","Volkswagen Polo","B",2006,108827,"Diésel",70,"MANUAL","True","Alicante",3.92,1.65,1.47,1089,1030,"-",164,14.6,4.5,122,2,1,5750,19,0.0642791551882461,"100k-200k",82.1428571428571,302.631578947368,0.052836152792965
526,"Mazda","Mazda Mazda3","C",2017,143315,"Diésel",150,"MANUAL","False","Alicante",4.47,1.8,1.47,1395,1263,"-",210,8.1,4.1,107,2,5,13850,8,0.10752688172043,"100k-200k",92.3333333333333,1731.25,0.0966402679412483
527,"Skoda","Skoda Octavia","C",2018,114182,"Gasolina",230,"MANUAL","False","Toledo",4.68,1.81,1.45,1420,1580,"-",250,6.7,6.5,149,2,5,24300,7,0.161971830985915,"100k-200k",105.652173913043,3471.42857142857,0.212818132455203
528,"BMW","BMW X2","C",2022,27329,"Gasolina",140,"AUTO","False","Badajoz",4.36,1.82,1.53,1470,1355,"-",205,9.6,5.6,129,1,5,24214,3,0.0952380952380952,"20k-50k",172.957142857143,8071.33333333333,0.886018515130447
529,"Volkswagen","Volkswagen T-Roc","C",2023,13914,"Gasolina",150,"AUTO","True","Madrid",4.24,1.82,1.58,1353,1290,"-",205,8.6,6.4,138,1,5,28350,2,0.110864745011086,"0-20k",189,14175,2.03751617076326
530,"Nissan","Nissan QASHQAI","B",2010,112324,"Diésel",106,"MANUAL","False","Alicante",4.33,1.78,1.62,1407,1513,"-",177,12.2,5.1,135,2,5,9800,15,0.0753375977256574,"100k-200k",92.4528301886792,653.333333333333,0.087247605142267
531,"Peugeot","Peugeot Rifter","C",2023,7342,"Diésel",130,"AUTO","True","Cádiz",4.4,1.85,1.82,1424,NA,"-",184,5.3,159,NA,2,5,31800,2,0.0912921348314607,"0-20k",244.615384615385,15900,4.33124489239989
532,"Mercedes","Mercedes Clase A","C",2020,36170,"Gasolina",163,"MANUAL","True","Alicante",4.42,1.8,1.44,1355,1195,"-",225,8.2,5.9,135,1,5,22438,5,0.12029520295203,"20k-50k",137.656441717791,4487.6,0.620348354990323
533,"Ford","Ford Kuga","C",2019,144482,"Diésel",120,"MANUAL","False","Alicante",4.52,1.84,1.75,1751,1603,"-",180,13.4,5.2,168,1,5,14800,6,0.0685322672758424,"100k-200k",123.333333333333,2466.66666666667,0.102434905386138
534,"Renault","Renault Kadjar","C",2017,101608,"Diésel",110,"MANUAL","False","Cáceres",4.45,1.84,1.61,1380,1478,"-",182,11.9,3.8,99,2,5,16700,8,0.0797101449275362,"100k-200k",151.818181818182,2087.5,0.164357137233289
535,"Toyota","Toyota C-HR","ECO",2017,106564,"Híbrido",122,"AUTO","True","Madrid",4.36,1.8,1.56,1495,1160,"-",170,11,3.8,87,2,5,18900,8,0.0816053511705686,"100k-200k",154.918032786885,2362.5,0.177358207274502
536,"KIA","KIA Ceed","C",2019,79922,"Gasolina",120,"MANUAL","True","Barcelona",4.31,1.8,1.45,1297,1291,"-",190,11.1,5.6,125,2,5,17390,6,0.0925212027756361,"50k-100k",144.916666666667,2898.33333333333,0.217587147468782
537,"Citroën","Citroën C5 Aircross","C",2020,58768,"Diésel",131,"MANUAL","True","Barcelona",4.5,1.97,1.69,1505,1630,"-",189,10.4,5.3,139,2,5,20450,5,0.0870431893687708,"50k-100k",156.106870229008,4090,0.347978491696161
538,"Citroën","Citroën C-Elysée","C",2020,95131,"Diésel",102,"MANUAL","True","Barcelona",4.42,1.75,1.47,1165,NA,"-",190,10.1,4.4,116,2,5,11900,5,0.0875536480686695,"50k-100k",116.666666666667,2380,0.125090664452176
539,"Volkswagen","Volkswagen Beetle","C",2013,57804,"Gasolina",105,"MANUAL","False","Madrid",4.28,1.81,1.49,1274,NA,"-",180,10.9,5.9,137,2,5,14350,12,0.0824175824175824,"50k-100k",136.666666666667,1195.83333333333,0.248252716075012
540,"Seat","Seat Ibiza","ECO",2019,75801,"GNC",90,"MANUAL","False","Barcelona",4.06,1.78,1.44,1257,NA,"-",180,12.1,5.1,92,2,5,12500,6,0.0715990453460621,"50k-100k",138.888888888889,2083.33333333333,0.164905476181053
542,"BMW","BMW X2","C",2022,11904,"Diésel",150,"MANUAL","False","Madrid",4.36,1.82,1.53,1575,1355,"-",207,9.3,4.9,130,1,5,25165,3,0.0952380952380952,"0-20k",167.766666666667,8388.33333333333,2.11399529569892
543,"Nissan","Nissan QASHQAI","ECO",2021,90736,"Híbrido",158,"AUTO","False","Badajoz",4.43,1.84,1.63,1511,1593,"-",199,9.2,6.6,145,1,5,20041,4,0.104566512243547,"50k-100k",126.841772151899,5010.25,0.220871539411039
544,"BMW","BMW X4","C",2017,148287,"Diésel",190,"AUTO","False","Toledo",4.67,1.88,1.62,1815,1400,"-",212,8,5.4,142,2,5,27650,8,0.104683195592287,"100k-200k",145.526315789474,3456.25,0.186462737798998
545,"Audi","Audi A4","ECO",2019,43190,"Diésel",163,"AUTO","False","Madrid",4.76,1.85,1.44,1615,1495,"-",210,8.5,5.2,101,1,5,23016,6,0.100928792569659,"20k-50k",141.20245398773,3836,0.53290113452188
547,"Mercedes","Mercedes Clase A","C",2020,81600,"Diésel",116,"MANUAL","False","Madrid",4.42,1.8,1.44,1425,1185,"-",202,10.6,4.6,120,2,5,21990,5,0.0814035087719298,"50k-100k",189.568965517241,4398,0.269485294117647
548,"Hyundai","Hyundai i20","C",2023,9610,"Gasolina",100,"MANUAL","True","Madrid",4.07,1.78,1.45,1065,1165,"-",188,10.4,5.3,121,2,5,18990,2,0.0938967136150235,"0-20k",189.9,9495,1.97606659729448
549,"DS","DS DS 5","C",2017,97635,"Diésel",150,"MANUAL","False","Córdoba",4.53,1.87,1.54,1537,NA,"-",210,9.8,4.1,113,2,5,16990,8,0.0975927130774236,"50k-100k",113.266666666667,2123.75,0.174015465765351
550,"Seat","Seat Ibiza","B",2015,16435,"Diésel",105,"MANUAL","False","Girona",4.06,1.69,1.45,1170,847,"-",188,10.5,NA,NA,1,5,11800,10,0.0897435897435897,"0-20k",112.380952380952,1180,0.717979920900517
551,"Dacia","Dacia Sandero","C",2023,13140,"Gasolina",110,"MANUAL","True","Badajoz",4.1,1.85,1.54,1096,1108,"-",172,12,5.5,125,2,5,17300,2,0.10036496350365,"0-20k",157.272727272727,8650,1.31659056316591
552,"RIMOR","RIMOR Luano Camp","C",2018,90857,"Diésel",131,"MANUAL","False","La Coruña",0,0,0,3000,NA,"-",NA,10.2,NA,NA,2,5,53990,7,0.0436666666666667,"50k-100k",412.137404580153,7712.85714285714,0.594230494073104
553,"Renault","Renault Scénic","C",2018,79710,"Diésel",110,"AUTO","False","Cáceres",4.41,1.87,1.65,1501,NA,"-",184,12.4,4,104,2,5,17990,7,0.0732844770153231,"50k-100k",163.545454545455,2570,0.225693137623887
555,"Seat","Seat León","C",2021,47239,"Gasolina",150,"MANUAL","False","Madrid",4.37,1.8,1.44,1330,NA,"-",217,8.7,5.7,131,2,5,23500,4,0.112781954887218,"20k-50k",156.666666666667,5875,0.497470310548488
556,"Iveco","Iveco Daily","C",2019,151019,"Diésel",156,"MANUAL","True","Ciudad Real",5.08,2.01,NA,2200,NA,"-",NA,8.3,NA,NA,2,1,19800,6,0.0709090909090909,"100k-200k",126.923076923077,3300,0.131109330614029
557,"Toyota","Toyota Auris","ECO",2017,41712,"Híbrido",136,"AUTO","False","Barcelona",4.33,1.76,1.48,1385,NA,"-",180,10.9,3.5,79,2,5,17990,8,0.0981949458483754,"20k-50k",132.279411764706,2248.75,0.431290755657844
558,"Toyota","Toyota Aygo","C",2018,105787,"Gasolina",69,"MANUAL","False","Barcelona",3.46,1.62,1.46,855,812,"-",160,14.2,4.1,95,2,5,10750,7,0.0807017543859649,"100k-200k",155.797101449275,1535.71428571429,0.101619291595376
559,"Peugeot","Peugeot Partner","C",2015,149685,"Diésel",100,"MANUAL","False","Barcelona",4.38,1.86,1.86,1320,NA,"-",166,4.3,113,NA,2,5,10990,10,0.0757575757575758,"100k-200k",109.9,1099,0.0734208504526172
560,"Peugeot","Peugeot 3008","C",2019,143837,"Diésel",130,"MANUAL","False","Madrid",4.45,1.84,1.62,1417,1482,"-",192,10.8,4.2,142,2,5,15700,6,0.0917431192660551,"100k-200k",120.769230769231,2616.66666666667,0.10915133102053
561,"SsangYong","SsangYong Kyron","B",2009,128421,"Diésel",138,"MANUAL","False","Sevilla",4.66,1.88,1.76,1770,NA,"-",174,7.3,195,NA,1,5,7300,16,0.0779661016949153,"100k-200k",52.8985507246377,456.25,0.0568442855919203
562,"Nissan","Nissan PULSAR","C",2016,76587,"Diésel",110,"MANUAL","True","Barcelona",4.39,1.77,1.52,1306,1385,"-",190,11.5,3.6,94,1,5,11990,9,0.0842266462480858,"50k-100k",109,1332.22222222222,0.156553984357659
563,"KIA","KIA Sportage","C",2024,312,"Híbrido",160,"MANUAL","True","Girona",4.51,1.87,1.65,1630,1751,"-",192,9.8,6.6,149,2,5,28990,1,0.098159509202454,"0-20k",181.1875,28990,92.9166666666667
564,"Mazda","Mazda CX-30","ECO",2019,84054,"Gasolina",122,"MANUAL","False","Barcelona",4.39,1.8,1.54,1320,NA,"-",186,10.6,6.2,141,2,5,20890,6,0.0924242424242424,"50k-100k",171.229508196721,3481.66666666667,0.248530706450615
566,"Volkswagen","Volkswagen Tiguan","C",2019,59948,"Gasolina",150,"AUTO","True","Navarra",4.49,1.84,1.65,1568,1655,"-",200,9.2,7.3,134,2,5,22231,6,0.0956632653061224,"50k-100k",148.206666666667,3705.16666666667,0.370838059651698
567,"BMW","BMW Serie 5","ECO",2020,88990,"Híbrido",190,"AUTO","True","Madrid",4.96,1.87,1.48,1670,NA,"-",235,7.2,4.8,127,2,5,37500,5,0.11377245508982,"50k-100k",197.368421052632,7500,0.421395662433981
569,"Opel","Opel Crossland X","C",2019,108452,"Diésel",102,"MANUAL","False","Castellón",4.21,1.77,1.61,1289,1255,"-",178,11.7,4,105,2,5,10661,6,0.0791311093871218,"100k-200k",104.519607843137,1776.83333333333,0.0983015527606683
570,"Mercedes","Mercedes Citan","C",2021,69440,"Diésel",95,"MANUAL","True","Castellón",4.32,1.83,1.82,1290,NA,"-",NA,8.24174757281553,NA,NA,2,5,12933,4,0.0736434108527132,"50k-100k",136.136842105263,3233.25,0.186247119815668
571,"Ford","Ford Tourneo Courier","C",2017,77000,"Gasolina",100,"MANUAL","False","Alicante",4.16,1.76,1.73,1190,1656,"-",173,12.3,5.2,120,1,5,12300,8,0.0840336134453782,"50k-100k",123,1537.5,0.15974025974026
572,"Volvo","Volvo S60","C",2016,96213,"Diésel",150,"MANUAL","False","Córdoba",4.64,1.87,1.48,1644,NA,"-",215,9,3.9,102,2,5,16990,9,0.0912408759124088,"50k-100k",113.266666666667,1887.77777777778,0.176587363454003
573,"Nissan","Nissan QASHQAI","C",2016,73104,"Diésel",110,"MANUAL","False","Valencia",4.38,1.81,1.59,1365,1598,"-",182,11.9,4,103,2,5,16490,9,0.0805860805860806,"50k-100k",149.909090909091,1832.22222222222,0.225569052309039
574,"Renault","Renault Captur","C",2024,2938,"Gasolina",90,"MANUAL","False","Córdoba",4.23,1.8,1.58,1201,1275,"-",168,14,6,132,2,5,20990,1,0.0749375520399667,"0-20k",233.222222222222,20990,7.14431586113002
575,"BMW","BMW Serie 2","C",2015,135686,"Diésel",190,"AUTO","False","Madrid",4.43,1.77,1.41,1610,NA,"-",225,7.5,4.4,116,2,5,22500,10,0.118012422360248,"100k-200k",118.421052631579,2250,0.165824034904117
576,"Peugeot","Peugeot 307","B",2006,198752,"Diésel",90,"MANUAL","False","Barcelona",4.42,1.76,1.54,1393,1675,"-",174,12.8,5,131,1,3,2900,19,0.0646087580760948,"100k-200k",32.2222222222222,152.631578947368,0.0145910481403961
577,"Renault","Renault Captur","C",2017,138336,"Diésel",90,"MANUAL","False","Sevilla",4.12,1.78,1.57,1178,1235,"-",171,13.1,3.7,95,1,5,11900,8,0.0764006791171477,"100k-200k",132.222222222222,1487.5,0.0860224381216748
578,"Ford","Ford Tourneo Courier","C",2018,52718,"Gasolina",100,"MANUAL","True","Córdoba",4.16,1.76,1.77,1190,1785,"-",169,12.3,5.8,131,2,5,13750,7,0.0840336134453782,"50k-100k",137.5,1964.28571428571,0.260821730718161
579,"Citroën","Citroën C3 Aircross","C",2021,75906,"Gasolina",110,"MANUAL","True","Zaragoza",4.15,1.76,1.64,1179,1289,"-",190,10.1,6.2,141,2,5,11561,4,0.0932994062765055,"50k-100k",105.1,2890.25,0.152306800516428
580,"Opel","Opel Mokka","C",2015,51345,"Gasolina",140,"MANUAL","True","Valencia",4.28,1.78,1.74,1394,1372,"-",196,9.9,6,139,2,5,12700,10,0.100430416068867,"50k-100k",90.7142857142857,1270,0.247346382315707
581,"Nissan","Nissan QASHQAI","C",2020,82909,"Diésel",115,"AUTO","False","Valencia",4.39,1.81,1.59,1400,1598,"-",183,13,5.3,138,1,5,21390,5,0.0821428571428571,"50k-100k",186,4278,0.257993703940465
583,"BMW","BMW Serie 2 Active Tourer","C",2016,64090,"Diésel",150,"AUTO","False","Barcelona",4.34,1.8,1.59,1450,1510,"-",208,8.9,4.1,109,2,5,17850,9,0.103448275862069,"50k-100k",119,1983.33333333333,0.278514588859416
584,"Volkswagen","Volkswagen Golf","C",2017,94546,"Gasolina",110,"AUTO","False","Alicante",4.26,1.8,1.45,1229,1270,"-",195,9.9,4.9,112,2,5,16490,8,0.0895036615134256,"50k-100k",149.909090909091,2061.25,0.174412455312758
585,"Opel","Opel Corsa","C",2017,58969,"Gasolina",90,"MANUAL","False","Barcelona",4.02,1.75,1.48,1163,1120,"-",175,13.2,5.2,120,2,5,9800,8,0.0773860705073087,"50k-100k",108.888888888889,1225,0.166189014566976
587,"Nissan","Nissan QASHQAI","C",2018,124754,"Diésel",130,"MANUAL","True","Murcia",4.39,1.81,1.59,1429,1598,"-",190,9.9,4.4,116,2,5,19750,7,0.0909727081875437,"100k-200k",151.923076923077,2821.42857142857,0.15831155714446
588,"Mitsubishi","Mitsubishi Eclipse Cross","C",2019,53827,"Gasolina",163,"AUTO","False","Girona",4.41,1.81,1.69,1495,1122,"-",200,9.7,8.5,192,2,5,22450,6,0.109030100334448,"50k-100k",137.730061349693,3741.66666666667,0.417076931651402
589,"Seat","Seat Ibiza","C",2022,21585,"Gasolina",110,"MANUAL","False","Málaga",4.06,1.78,1.44,1169,1165,"-",195,10.3,5.1,116,2,5,17450,3,0.0940975192472198,"20k-50k",158.636363636364,5816.66666666667,0.808431781329627
590,"Hyundai","Hyundai i20","C",2020,40407,"Gasolina",100,"MANUAL","False","Madrid",4.04,1.73,1.47,1040,1042,"-",188,10.8,5.8,132,2,5,13900,5,0.0961538461538462,"20k-50k",139,2780,0.343999802014502
591,"Toyota","Toyota C-HR","ECO",2020,45265,"Híbrido",122,"AUTO","True","Barcelona",4.39,1.8,1.56,1495,1102,"-",170,11,3.8,86,2,5,21900,5,0.0816053511705686,"20k-50k",179.508196721311,4380,0.483817519054457
592,"Mercedes","Mercedes Clase A","B",2008,166765,"Diésel",109,"MANUAL","False","Santander",3.84,1.76,1.59,1345,1370,"-",186,10.8,5.2,137,1,5,6900,17,0.0810408921933086,"100k-200k",63.302752293578,405.882352941176,0.0413755884028423
593,"Citroën","Citroën C4","C",2021,82732,"Gasolina",130,"MANUAL","True","Zaragoza",4.36,1.8,1.53,1322,1250,"-",210,8.9,5.4,120,2,5,12603,4,0.0983358547655068,"50k-100k",96.9461538461538,3150.75,0.15233525117246
594,"Peugeot","Peugeot Rifter","C",2022,46526,"Diésel",130,"MANUAL","False","Granada",4.4,1.85,1.82,1430,3000,"-",184,5.3,149,NA,1,5,25500,3,0.0909090909090909,"20k-50k",196.153846153846,8500,0.548080643081288
595,"Ford","Ford Focus","C",2019,81773,"Gasolina",182,"MANUAL","True","Alicante",4.38,1.83,1.45,1369,1320,"-",222,5.5,136,NA,2,5,21790,6,0.132943754565376,"50k-100k",119.725274725275,3631.66666666667,0.266469372531276
597,"Renault","Renault Clio","C",2018,60217,"Diésel",90,"MANUAL","False","Zaragoza",4.06,1.73,1.45,1090,1146,"-",180,12,3.3,85,2,5,13900,7,0.0825688073394495,"50k-100k",154.444444444444,1985.71428571429,0.230831824899945
598,"BMW","BMW X1","C",2017,164683,"Diésel",150,"AUTO","False","Sevilla",4.44,1.82,1.6,1505,NA,"-",205,9.2,4.1,109,2,5,17200,8,0.0996677740863787,"100k-200k",114.666666666667,2150,0.104443081556688
599,"Peugeot","Peugeot 3008","C",2018,132776,"Diésel",130,"MANUAL","False","Alicante",4.45,1.84,1.62,1417,1482,"-",192,10.8,4.2,109,1,5,16350,7,0.0917431192660551,"100k-200k",125.769230769231,2335.71428571429,0.123139724046514
600,"Fiat","Fiat 500","C",2017,49317,"Gasolina",69,"AUTO","True","Madrid",3.57,1.63,1.49,865,550,"-",160,12.9,4.9,115,2,5,12800,8,0.0797687861271676,"20k-50k",185.507246376812,1600,0.259545390027779
601,"Seat","Seat Arona","ECO",2021,80361,"GNC",90,"MANUAL","True","Madrid",4.14,1.78,1.55,1305,NA,"-",178,13.2,5.2,103,2,5,15990,4,0.0689655172413793,"50k-100k",177.666666666667,3997.5,0.19897711576511
603,"Renault","Renault Mégane","C",2018,78264,"Gasolina",130,"MANUAL","False","Madrid",4.36,1.81,1.45,1205,1247,"-",197,10.6,5.3,119,1,5,14250,7,0.107883817427386,"50k-100k",109.615384615385,2035.71428571429,0.182076050291322
604,"KIA","KIA Ceed","B",2015,182574,"Diésel",90,"MANUAL","False","Huelva",4.31,1.78,1.47,1365,1318,"-",170,13.5,4.1,109,2,5,8450,10,0.0659340659340659,"100k-200k",93.8888888888889,845,0.046282603218421
605,"Peugeot","Peugeot 5008","C",2014,77913,"Diésel",120,"MANUAL","True","Sevilla",4.53,1.84,1.65,1472,2506,"-",185,12,4.3,113,2,5,12300,11,0.0815217391304348,"50k-100k",102.5,1118.18181818182,0.157868391667629
606,"Honda","Honda Civic","B",2014,20382,"Diésel",120,"MANUAL","True","Valencia",4.3,1.77,1.47,1310,1378,"-",207,10.5,3.7,98,1,5,15990,11,0.0916030534351145,"20k-50k",133.25,1453.63636363636,0.784515749190462
607,"BMW","BMW Serie 3","B",2011,156708,"Diésel",143,"MANUAL","True","Toledo",4.53,1.82,1.42,1565,1385,"-",210,9.4,4.5,120,1,5,10900,14,0.0913738019169329,"100k-200k",76.2237762237762,778.571428571429,0.0695561171095286
608,"Citroën","Citroën C4","C",2021,143298,"Diésel",110,"MANUAL","True","Madrid",4.36,1.8,1.53,1335,1250,"-",193,10.5,4.4,115,2,5,14800,4,0.0823970037453183,"100k-200k",134.545454545455,3700,0.103281273988472
609,"Peugeot","Peugeot 2008","C",2020,69098,"Diésel",100,"MANUAL","False","Zaragoza",4.3,1.77,1.55,1205,1467,"-",185,11.8,3.8,119,2,5,19200,5,0.0829875518672199,"50k-100k",192,3840,0.277866218993314
610,"KIA","KIA Ceed Sportswagon","C",2018,75994,"Diésel",110,"MANUAL","True","Madrid",4.51,1.78,1.49,1314,1642,"-",188,11.5,4,104,1,5,13450,7,0.0837138508371385,"50k-100k",122.272727272727,1921.42857142857,0.176987656920283
611,"Audi","Audi A3","C",2016,112577,"Diésel",110,"MANUAL","False","Valencia",4.31,1.79,1.43,1335,1220,"-",200,10.7,4,99,2,5,16390,9,0.0823970037453183,"100k-200k",149,1821.11111111111,0.145589241141619
612,"Renault","Renault Clio","C",2019,81177,"Gasolina",90,"MANUAL","False","Málaga",4.06,1.73,1.45,1090,1146,"-",178,12.1,5,113,1,5,9338,6,0.0825688073394495,"50k-100k",103.755555555556,1556.33333333333,0.115032583120835
613,"Mazda","Mazda CX-3","C",2015,159000,"Diésel",105,"AUTO","False","Ciudad Real",4.28,1.77,1.54,1370,1260,"-",172,11.9,5.2,136,2,5,14490,10,0.0766423357664234,"100k-200k",138,1449,0.0911320754716981
614,"Opel","Opel Corsa","C",2021,49383,"Gasolina",100,"MANUAL","False","Madrid",4.06,1.77,1.43,1165,NA,"-",188,9.9,5.5,117,2,5,13900,4,0.0858369098712446,"20k-50k",139,3475,0.281473381528056
615,"Hyundai","Hyundai i30","ECO",2022,9130,"Híbrido",120,"MANUAL","True","Valencia",4.34,1.8,1.46,1220,1301,"-",196,11.2,5.2,117,2,5,22300,3,0.0983606557377049,"0-20k",185.833333333333,7433.33333333333,2.44249726177437
616,"Ford","Ford Fiesta","C",2013,78973,"Gasolina",100,"MANUAL","False","Barcelona",3.97,1.72,1.5,1101,974,"-",180,11.2,4.3,105,2,5,8450,12,0.0908265213442325,"50k-100k",84.5,704.166666666667,0.106998594456333
617,"Renault","Renault Clio","B",2014,82081,"Diésel",90,"AUTO","False","Madrid",4.06,1.73,1.45,1152,1146,"-",176,12.9,3.7,95,2,5,12300,11,0.078125,"50k-100k",136.666666666667,1118.18181818182,0.149851975487628
618,"Mercedes","Mercedes Clase E","C",2016,80433,"Diésel",194,"AUTO","False","Córdoba",4.92,1.85,1.47,1680,NA,"-",240,7.3,3.9,102,2,5,29500,9,0.11547619047619,"50k-100k",152.061855670103,3277.77777777778,0.366764885059615
619,"Seat","Seat León","C",2015,111202,"Diésel",150,"MANUAL","True","Barcelona",4.54,1.82,1.48,1492,1470,"-",206,8.7,4.9,129,2,5,14710,10,0.100536193029491,"100k-200k",98.0666666666667,1471,0.132281793492923
620,"Lexus","Lexus NX","ECO",2019,56014,"Híbrido",197,"AUTO","False","Valencia",4.64,1.85,1.65,1785,1600,"-",180,9.2,5.9,135,1,5,30900,6,0.110364145658263,"50k-100k",156.852791878173,5150,0.551647802335131
621,"KIA","KIA Ceed","C",2018,60735,"Gasolina",100,"MANUAL","True","Barcelona",4.31,1.8,1.45,1260,1291,"-",183,12.6,6.4,145,2,5,14390,7,0.0793650793650794,"50k-100k",143.9,2055.71428571429,0.2369309294476
622,"KIA","KIA Ceed Tourer","C",2022,29487,"Gasolina",120,"MANUAL","True","Huelva",4.6,1.8,1.47,1349,1694,"-",190,11.4,5.3,121,2,5,18800,3,0.0889547813194959,"20k-50k",156.666666666667,6266.66666666667,0.637569098246685
623,"Mercedes","Mercedes Clase C","C",2019,35690,"Diésel",194,"AUTO","False","Madrid",4.69,1.81,1.44,1585,NA,"-",240,6.9,5.2,136,2,5,28090,6,0.122397476340694,"20k-50k",144.79381443299,4681.66666666667,0.787055197534323
624,"Renault","Renault Mégane","C",2019,43623,"Gasolina",115,"MANUAL","True","Sevilla",4.36,1.81,1.45,1231,1247,"-",190,10.7,5.2,120,2,5,15300,6,0.0934199837530463,"20k-50k",133.04347826087,2550,0.350732411801114
625,"Opel","Opel Astra","C",2014,118661,"Gasolina",115,"MANUAL","False","Málaga",4.42,1.81,1.51,1393,1235,"-",188,11.7,6.3,154,1,5,8500,11,0.0825556353194544,"100k-200k",73.9130434782609,772.727272727273,0.0716326341426416
626,"Seat","Seat Ibiza","C",2020,77112,"Gasolina",115,"MANUAL","False","Madrid",4.06,1.78,1.44,1149,1165,"-",195,9.3,5.4,122,2,5,12800,5,0.100087032201915,"50k-100k",111.304347826087,2560,0.165992322855068
627,"Ford","Ford Transit Courier","C",2019,126674,"Diésel",75,"MANUAL","False","Toledo",4.16,1.76,1.75,1135,NA,"-",154,4.1,142,NA,2,3,11900,6,0.066079295154185,"100k-200k",158.666666666667,1983.33333333333,0.0939419296777555
628,"Peugeot","Peugeot 2008","C",2015,101658,"Diésel",100,"MANUAL","True","Castellón",4.16,1.74,1.56,1180,1194,"-",180,11.3,3.6,95,2,5,9990,10,0.0847457627118644,"100k-200k",99.9,999,0.0982706722540282
